antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bread'}),frozenset({'Honey'}),0.4073275862068966,0.41594827586206895,0.20043103448275862,0.49206349206349204,1.1829920223702608,1.0,0.031003827288941743,1.1498518318965518,0.26099706744868045,0.32179930795847755,0.13032273179874654,0.48696438851879265
frozenset({'Honey'}),frozenset({'Bread'}),0.41594827586206895,0.4073275862068966,0.20043103448275862,0.48186528497409326,1.1829920223702606,1.0,0.031003827288941743,1.1438577586206895,0.2648494226877753,0.32179930795847755,0.12576542628356094,0.48696438851879265
frozenset({'Bread'}),frozenset({'Bacon'}),0.4073275862068966,0.43103448275862066,0.2025862068965517,0.49735449735449727,1.1538624338624337,1.0,0.027013971462544584,1.1319419237749544,0.22499032882011602,0.31864406779661014,0.11656244989578313,0.48367724867724865
frozenset({'Bacon'}),frozenset({'Bread'}),0.43103448275862066,0.4073275862068966,0.2025862068965517,0.47000000000000003,1.153862433862434,1.0,0.027013971462544584,1.1182498373454781,0.2343649258542875,0.31864406779661014,0.10574545454545456,0.48367724867724865
frozenset({'Bread'}),frozenset({'Toothpaste'}),0.4073275862068966,0.38362068965517243,0.17456896551724138,0.42857142857142855,1.117174959871589,1.0,0.01830967598097502,1.0786637931034484,0.1769696969696969,0.28321678321678323,0.07292707292707286,0.4418138041733547
frozenset({'Toothpaste'}),frozenset({'Bread'}),0.38362068965517243,0.4073275862068966,0.17456896551724138,0.4550561797752809,1.117174959871589,1.0,0.01830967598097502,1.0875844294347672,0.17016317016317006,0.28321678321678323,0.08053115423901937,0.4418138041733547
frozenset({'Banana'}),frozenset({'Bread'}),0.4482758620689655,0.4073275862068966,0.21120689655172414,0.47115384615384615,1.1566951566951567,1.0,0.028611771700356697,1.1206896551724137,0.2455357142857141,0.3277591973244147,0.10769230769230764,0.4948361823361823
frozenset({'Bread'}),frozenset({'Banana'}),0.4073275862068966,0.4482758620689655,0.21120689655172414,0.5185185185185185,1.1566951566951567,1.0,0.028611771700356697,1.145888594164456,0.2285714285714284,0.3277591973244147,0.12731481481481474,0.4948361823361823
frozenset({'Bread'}),frozenset({'Apple'}),0.4073275862068966,0.4051724137931034,0.17456896551724138,0.42857142857142855,1.0577507598784195,1.0,0.009531064209274687,1.0409482758620692,0.09212121212121226,0.27364864864864863,0.039337474120082816,0.4297112462006079
frozenset({'Apple'}),frozenset({'Bread'}),0.4051724137931034,0.4073275862068966,0.17456896551724138,0.4308510638297873,1.0577507598784195,1.0,0.009531064209274687,1.0413309700290043,0.0917874396135267,0.27364864864864863,0.03969052224371376,0.4297112462006079
